Sabine,32.4464011,-94.9528143
Sabine_Bay,30.3335376,-87.1503931
Sabine_Lake,29.8951008,-93.8451731
Sabine_Pass,29.7263303,-93.8632203
Said_County,26.086989,-97.162334
Said_Rio_Bravo,39.0999629,-94.63468499999999
Said_River,39.6203389,-86.1853472
Saltillo,25.4383234,-100.973678
San_Aliguel,36.1188422,-94.1437579
San_Antonio,29.4241219,-98.49362819999999
San_Antonio_de_Bexar,29.4241219,-98.49362819999999
San_Bernard,28.86191849999999,-95.4388329
San_Jacinto,33.7839084,-116.958635
San_Jasinto,33.7839084,-116.958635
San_Juan,18.4655394,-66.1057355
Santa_Anna,31.7420932,-99.32172539999999
Santa_Fe,35.6869752,-105.937799
Sante,33.134981,-97.16416900000002
Shawnee_Town,39.0252551,-94.72027109999999
Sierra_Madre,34.1616729,-118.0528456
Snively,36.0976465,-94.1593139
Somerville,42.3875968,-71.0994968
Sonora,29.2972247,-110.3308814
South_Coast,33.6909857,-117.8871058
Spain,40.46366700000001,-3.74922
St_Augustin,29.9012437,-81.31243409999999
St._Anna,43.8933258,-88.12148719999999
Tacubaya,37.87006239999999,-122.3014125
Tamaulipas,24.26694,-98.8362755
Tampico,22.2331041,-97.861099
Texas,31.9685988,-99.9018131
Texas_County,36.8301318,-101.4339148
Texas_Deer,30.3092867,-95.6286683
Texas_Galveston_Texas,29.3013479,-94.7976958
Texas_New_York,43.5128472,-76.2510408
Treat_City_of_Mexico,19.4062822,-99.2724633
United_Mexican_States,23.634501,-102.552784
United_States,37.09024,-95.712891
United_States_Austin,30.267153,-97.7430608
United_States_Chargfi,39.3215373,-119.8804495
United_States_District_Attorney,40.8092343,-73.9474317
United_States_District_Court,32.6223059,-85.4577551
United_States_Galveston,29.3013479,-94.7976958
United_States_Grovemment,37.09024,-95.712891
United_States_Oalveston,29.3013479,-94.7976958
United_States_of_America,37.09024,-95.712891
United_States_of_North_America,37.09024,-95.712891
United_States_of_the_North,37.09024,-95.712891
United_States_Waples,33.7551936,-96.5473114
United_States_Washington,47.7510741,-120.7401385
Upshub,36.07938,-95.844261
Upshur,32.7099747,-94.976654
US,37.09024,-95.712891
Vattel,46.9237983,6.631915999999999
Velasco,39.1018354,-94.6387748
Via_N._York,40.6193242,-73.9206184
Vienna,48.2081743,16.3738189
Waco,31.549333,-97.1466695
Washington,47.7510741,-120.7401385
Washington_City,37.1305373,-113.5082867
Washington_City_Waples,38.87364,-77.35162509999999
Washington_Texas,30.2352956,-96.365157
Wichita,37.68717609999999,-97.33005299999999
Yucatan,18.806656,-89.3985283
Zacatecas,22.7708555,-102.5832426
Zapata_Canalis,42.792983,-73.992054
